car,rank,max_speed,consumption_town,consumption_road,horse_power,space,price
Peugeot 505 GR,1,173,11.4,10.01,10,7.88,49500
Opel Record 2000 LS,2,176,12.3,10.48,11,7.96,46700
Citroen Visa Super E,3,142,8.2,7.3,5,5.65,32100
VW Golf 1300 GLS,4,148,10.5,9.61,7,6.15,39150
Citroen CX 2400 Pallas,5,178,14.5,11.05,13,8.06,64700
Mercedes 230,6,180,13.6,10.4,13,8.47,75700
BMW 520,7,182,12.7,12.26,11,7.81,68593
Volvo 244 DL,8,145,14.3,12.95,11,8.38,55000
Peugeot 104 ZS,9,161,8.6,8.42,7,5.11,35200
Citroen Dyane,10,117,7.2,6.75,3,5.81,24800